iteration,value
1,0.13243737088671217
2,0.10781200149194219
3,0.11235688064878327
4,0.1188513956813805
5,0.11895695005936276
6,0.11767097132912452
7,0.09688734699915383
8,0.09422308894744365
9,0.1193348570408039
10,0.11554131394044724
