iteration,value
1,Value of -1.0964611664241945E14,optimal vals:
2,Value of -1.1308237472740622E14,optimal vals:
3,Value of -1.1523879973923328E14,optimal vals:
4,Value of -1.2342609961726328E14,optimal vals:
5,Value of -1.2326138140030788E14,optimal vals:
6,Value of -1.181526137853499E14,optimal vals:
7,Value of -1.3098104964164022E14,optimal vals:
8,Value of -1.0946144761697864E14,optimal vals:
9,Value of -1.1660913033472536E14,optimal vals:
10,Value of -1.2952330545486866E14,optimal vals:
