iteration,value
1,Value of 6470.0,optimal vals:
2,Value of 6470.0,optimal vals:
3,Value of 6470.0,optimal vals:
4,Value of 6470.0,optimal vals:
5,Value of 6470.0,optimal vals:
6,Value of 6470.0,optimal vals:
7,Value of 6470.0,optimal vals:
8,Value of 6470.0,optimal vals:
9,Value of 6470.0,optimal vals:
10,Value of 6470.0,optimal vals:
